ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice,clean_question
1,muscle cramps and weakness,Electrolyte Imbalance,"Electrolyte solution, Potassium supplements","Stay hydrated, maintain balanced diet.",muscle cramps and weakness
2,cold hands and feet,Raynaud's Disease,"Nifedipine, Losartan","Keep warm, reduce stress.",cold hands and feet
3,back pain and stiffness,Herniated Disc,"Ibuprofen, Muscle relaxants","Maintain good posture, apply cold/heat.",back pain and stiffness
4,headache and nausea,Migraine,"Sumatriptan, Naproxen","Avoid triggers, rest in a dark room.",headache and nausea
5,persistent cough with mucus,Bronchitis,"Azithromycin, Cough suppressants","Drink fluids, avoid smoke.",persistent cough with mucus
6,joint pain and swelling,Rheumatoid Arthritis,"Methotrexate, Prednisone","Exercise gently, manage stress.",joint pain and swelling
7,swollen glands in neck,Lymphadenopathy,"Amoxicillin, Analgesics","Monitor swelling, take antibiotics if needed.",swollen glands in neck
8,night sweats and weight loss,Tuberculosis,"Isoniazid, Rifampin","Take full antibiotic course, avoid contact.",night sweats and weight loss
9,diarrhea and stomach cramps,Gastroenteritis,"Loperamide, Oral Rehydration","Stay hydrated, eat bland food.",diarrhea and stomach cramps
10,tiredness and frequent urination,Type 2 Diabetes,"Metformin, Glipizide","Exercise regularly, control sugar intake.",tiredness and frequent urination
11,sensitivity to light and headaches,Meningitis,"Ceftriaxone, Dexamethasone",Seek emergency care immediately.,sensitivity to light and headaches
12,dry mouth and excessive thirst,Dehydration,"ORS, IV Fluids","Drink more fluids, avoid excessive heat.",dry mouth and excessive thirst
13,blurred vision and eye pain,Glaucoma,"Latanoprost, Timolol","Use eye drops regularly, avoid strain.",blurred vision and eye pain
14,sore throat and mild fever,Pharyngitis,"Paracetamol, Lozenges","Drink warm fluids, rest well.",sore throat and mild fever
15,abdominal pain and bloating,Acid Reflux,"Omeprazole, Ranitidine","Avoid spicy food, elevate head while sleeping.",abdominal pain and bloating
16,chest pain and dizziness,Heart Disease,"Aspirin, Nitroglycerin","Avoid stress, follow heart-healthy diet.",chest pain and dizziness
17,itchy skin and rash,Eczema,"Hydrocortisone, Moisturizers","Use moisturizers, avoid allergens.",itchy skin and rash
18,shortness of breath and cough,Asthma,"Salbutamol, Fluticasone","Avoid allergens, use inhaler as prescribed.",shortness of breath and cough
19,frequent nosebleeds,Hypertension,"Lisinopril, Amlodipine","Reduce salt intake, exercise daily.",frequent nosebleeds
20,difficulty sleeping,Insomnia,"Melatonin, Zolpidem","Maintain sleep schedule, avoid caffeine.",difficulty sleeping
21,fever and chills,Viral Fever,Paracetamol,Take rest and drink plenty of fluids,fever and chills
22,runny nose and sneezing,Common Cold,Cetirizine,Avoid cold drinks and rest well,runny nose and sneezing
23,sore throat and cough,Throat Infection,"Paracetamol, Lozenges",Gargle with warm salt water,sore throat and cough
24,headache and eye strain,Eye Strain,Paracetamol,Reduce screen time and rest eyes,headache and eye strain
25,stomach pain after eating,Indigestion,Antacids,Eat small meals and avoid spicy food,stomach pain after eating
26,vomiting and nausea,Food Poisoning,Ondansetron,Drink ORS and avoid solid food,vomiting and nausea
27,body pains and tiredness,Viral Infection,Paracetamol,Take rest and fluids,body pains and tiredness
28,cough and chest tightness,Chest Infection,Cough Syrup,Avoid cold air and smoke,cough and chest tightness
29,itchy eyes and sneezing,Allergic Rhinitis,Cetirizine,Avoid dust and pollen,itchy eyes and sneezing
30,burning while passing urine,Urinary Tract Infection,Nitrofurantoin,Drink more water,burning while passing urine
31,constipation and hard stools,Constipation,Isabgol,Eat fiber rich foods,constipation and hard stools
32,loose motions and weakness,Diarrhea,"ORS, Zinc",Stay hydrated,loose motions and weakness
33,back pain after sitting long,Muscle Strain,Pain Relievers,Maintain proper posture,back pain after sitting long
34,neck pain and stiffness,Cervical Spondylosis,Pain Relievers,Do neck exercises,neck pain and stiffness
35,acne and oily skin,Acne,Benzoyl Peroxide,Keep face clean,acne and oily skin
36,dandruff and itchy scalp,Dandruff,Ketoconazole Shampoo,Wash hair regularly,dandruff and itchy scalp
37,tooth pain and swelling,Tooth Infection,Pain Killers,Visit dentist,tooth pain and swelling
38,ear pain and itching,Ear Infection,Antibiotic Drops,Keep ear dry,ear pain and itching
39,breathlessness on walking,Anemia,Iron Supplements,Eat iron rich foods,breathlessness on walking
40,fatigue and pale skin,Iron Deficiency Anemia,Iron Tablets,Improve diet,fatigue and pale skin
41,frequent headaches,Tension Headache,Paracetamol,Manage stress,frequent headaches
42,stomach bloating and gas,Gas Trouble,Simethicone,Avoid carbonated drinks,stomach bloating and gas
43,knee pain while climbing stairs,Knee Arthritis,Pain Relievers,Do strengthening exercises,knee pain while climbing stairs
44,hand joint stiffness morning,Arthritis,Pain Relievers,Do hand exercises,hand joint stiffness morning
45,dryness and cracking lips,Dehydration,Multivitamins,Drink enough water,dryness and cracking lips
46,eye redness and itching,Conjunctivitis,Eye Drops,Avoid touching eyes,eye redness and itching
47,frequent burping and acidity,Acid Reflux,Omeprazole,Avoid oily food,frequent burping and acidity
48,sleep problems and stress,Stress,Mild Sedatives,Practice relaxation,sleep problems and stress
49,low mood and tiredness,Mild Depression,Multivitamins,Exercise regularly,low mood and tiredness
50,weight gain and tiredness,Hypothyroidism,Levothyroxine,Regular thyroid check,weight gain and tiredness
51,excessive sweating,Hyperhidrosis,Antiperspirants,Maintain hygiene,excessive sweating
52,hair fall and weakness,Nutritional Deficiency,Multivitamins,Eat healthy food,hair fall and weakness
53,numbness in legs,Nerve Compression,Vitamin B Complex,Avoid long sitting,numbness in legs
54,frequent infections,Low Immunity,Multivitamins,Improve nutrition,frequent infections
55,dry cough at night,Allergy,Antihistamines,Avoid allergens,dry cough at night
56,wheezing and chest tightness,Mild Asthma,Inhaler,Avoid triggers,wheezing and chest tightness
57,swelling in feet,Fluid Retention,Diuretics,Reduce salt intake,swelling in feet
58,burning sensation in chest,Heartburn,Antacids,Avoid late night meals,burning sensation in chest
59,itchy private area,Fungal Infection,Antifungal Cream,Keep area dry,itchy private area
60,white patches in mouth,Oral Thrush,Antifungal Gel,Maintain oral hygiene,white patches in mouth
61,frequent urination at night,Prostate Enlargement,Alpha Blockers,Reduce fluids at night,frequent urination at night
62,dizziness on standing,Low Blood Pressure,ORS,Stand slowly,dizziness on standing
63,ringing in ears,Tinnitus,Vitamin Supplements,Avoid loud noise,ringing in ears
64,redness and pain in joints,Gout,Pain Relievers,Avoid high protein food,redness and pain in joints
65,stomach cramps during periods,Menstrual Cramps,Pain Relievers,Use hot water bag,stomach cramps during periods
66,mood swings and fatigue,Hormonal Imbalance,Multivitamins,Get proper sleep,mood swings and fatigue
67,dry skin and itching,Dry Skin,Moisturizers,Use mild soaps,dry skin and itching
68,frequent yawning and tired,Sleep Deprivation,No Medicine,Improve sleep habits,frequent yawning and tired
69,cough after eating,Acid Reflux,Antacids,Avoid lying after meals,cough after eating
70,chest discomfort after stress,Anxiety,Mild Sedatives,Practice breathing exercises,chest discomfort after stress
71,feeling dizzy and weak,General Weakness,Multivitamins,Take rest and balanced diet,feeling dizzy and weak
72,loss of appetite and nausea,Stomach Infection,Antiemetic,Eat light foods and stay hydrated,loss of appetite and nausea
73,pain while swallowing,Throat Inflammation,Lozenges,Drink warm fluids,pain while swallowing
74,frequent hiccups,Indigestion,Antacids,Avoid spicy food,frequent hiccups
75,stomach burning in morning,Acid Reflux,Omeprazole,Avoid skipping meals,stomach burning in morning
76,shaking hands and nervousness,Anxiety,Anti anxiety meds,Practice deep breathing,shaking hands and nervousness
77,sudden weight loss,Metabolic Disorder,Medical Evaluation,Consult doctor for tests,sudden weight loss
78,leg cramps at night,Electrolyte Deficiency,Magnesium Supplements,Stretch before sleep,leg cramps at night
79,difficulty concentrating,Tiredness,Multivitamins,Get enough sleep,difficulty concentrating
80,frequent sore throat,Recurrent Infection,Vitamin C,Boost immunity,frequent sore throat
81,swollen ankles in evening,Fluid Retention,Diuretics,Elevate legs,swollen ankles in evening
82,tingling in fingers,Vitamin Deficiency,Vitamin B12,Improve nutrition,tingling in fingers
83,eye watering in sunlight,Light Sensitivity,Sunglasses,Avoid bright light,eye watering in sunlight
84,pain in heel while walking,Plantar Fasciitis,Pain Relievers,Use soft footwear,pain in heel while walking
85,lower back pain while bending,Muscle Strain,Pain Relievers,Avoid heavy lifting,lower back pain while bending
86,dry cough with throat itch,Allergy,Antihistamines,Avoid dust exposure,dry cough with throat itch
87,excessive sleepiness daytime,Sleep Disorder,Medical Evaluation,Maintain sleep routine,excessive sleepiness daytime
88,frequent mouth ulcers,Vitamin Deficiency,Multivitamins,Avoid spicy foods,frequent mouth ulcers
89,heavy sweating at night,Night Sweats,Medical Evaluation,Consult doctor if persists,heavy sweating at night
90,painful bowel movements,Anal Fissure,Ointments,Increase fiber intake,painful bowel movements
91,frequent stomach noises,Gas Trouble,Simethicone,Avoid carbonated drinks,frequent stomach noises
92,stiff neck after sleeping wrong,Muscle Stiffness,Pain Relievers,Apply warm compress,stiff neck after sleeping wrong
93,itching between toes,Fungal Infection,Antifungal Cream,Keep feet dry,itching between toes
94,red watery eyes,Eye Allergy,Eye Drops,Avoid rubbing eyes,red watery eyes
95,feeling cold all the time,Hypothyroidism,Thyroid Medication,Check thyroid levels,feeling cold all the time
96,slow healing wounds,Diabetes Complication,Blood Sugar Control,Monitor glucose regularly,slow healing wounds
97,burning feet at night,Nerve Problem,Vitamin B Complex,Consult doctor,burning feet at night
98,difficulty breathing when lying,Heart or Lung Issue,Medical Evaluation,Seek medical attention,difficulty breathing when lying
99,chest heaviness after meals,Acid Reflux,Antacids,Eat small meals,chest heaviness after meals
100,frequent yawning and breathlessness,Anemia,Iron Supplements,Improve iron intake,frequent yawning and breathlessness
101,blurred vision after screen use,Digital Eye Strain,Eye Drops,Follow 20-20-20 rule,blurred vision after screen use
102,irregular menstrual cycles,Hormonal Imbalance,Hormone Therapy,Consult gynecologist,irregular menstrual cycles
103,pain in wrist after typing,Repetitive Strain Injury,Pain Relievers,Take frequent breaks,pain in wrist after typing
104,frequent throat clearing,Post Nasal Drip,Antihistamines,Drink warm fluids,frequent throat clearing
105,loss of smell and taste,Sinus Infection,Decongestants,Steam inhalation,loss of smell and taste
106,white discharge and itching,Vaginal Infection,Antifungal Tablets,Maintain hygiene,white discharge and itching
107,frequent urination with burning,Urinary Infection,Antibiotics,Drink plenty of water,frequent urination with burning
108,stomach pain after dairy,Lactose Intolerance,Lactase Enzymes,Avoid dairy products,stomach pain after dairy
109,sudden muscle twitching,Electrolyte Imbalance,Magnesium,Stay hydrated,sudden muscle twitching
110,feeling heartbeat fast,Panic Attack,Anti anxiety meds,Practice calming techniques,feeling heartbeat fast
111,dry throat at night,Mouth Breathing,Saline Spray,Use humidifier,dry throat at night
112,eye pain while blinking,Eye Infection,Eye Drops,Avoid eye strain,eye pain while blinking
113,frequent burping after meals,Indigestion,Antacids,Eat slowly,frequent burping after meals
114,loss of hair in patches,Alopecia,Topical Steroids,Consult dermatologist,loss of hair in patches
115,pain under rib cage,Muscle Injury,Pain Relievers,Avoid strenuous activity,pain under rib cage
116,feeling bloated after small meals,Indigestion,Probiotics,Eat smaller portions,feeling bloated after small meals
117,sore gums and bleeding,Gingivitis,Antiseptic Mouthwash,Brush regularly,sore gums and bleeding
118,itchy ears inside,Ear Allergy,Antihistamine Drops,Avoid inserting objects,itchy ears inside
119,difficulty starting urine,Prostate Issue,Alpha Blockers,Consult urologist,difficulty starting urine
120,frequent thirst and hunger,Diabetes,Blood Sugar Control,Check glucose levels,frequent thirst and hunger
121,tooth pain while chewing,Dental Cavity,Pain Killers,Avoid very hot or cold food,tooth pain while chewing
122,bleeding gums while brushing,Gingivitis,Antiseptic Mouthwash,Brush gently and regularly,bleeding gums while brushing
123,bad breath even after brushing,Oral Infection,Antibacterial Mouthwash,Maintain oral hygiene,bad breath even after brushing
124,swollen gums with pain,Gum Infection,Antibiotics,Consult dentist,swollen gums with pain
125,sharp pain in tooth,Tooth Sensitivity,Desensitizing Toothpaste,Avoid cold drinks,sharp pain in tooth
126,jaw pain while opening mouth,TMJ Disorder,Pain Relievers,Avoid chewing hard foods,jaw pain while opening mouth
127,ulcers inside mouth,Mouth Ulcers,Topical Gel,Avoid spicy food,ulcers inside mouth
128,white coating on tongue,Oral Thrush,Antifungal Gel,Clean tongue daily,white coating on tongue
129,tooth pain with swelling face,Dental Abscess,Antibiotics,Visit dentist immediately,tooth pain with swelling face
130,bleeding after tooth extraction,Post Extraction Issue,Antiseptic,Avoid rinsing for 24 hours,bleeding after tooth extraction
131,loose tooth in adult,Periodontal Disease,Dental Treatment,Consult dentist,loose tooth in adult
132,red patches inside mouth,Oral Inflammation,Topical Ointment,Avoid tobacco and alcohol,red patches inside mouth
133,pain in gums while eating,Gum Inflammation,Antiseptic Gel,Eat soft foods,pain in gums while eating
134,dry mouth problem,Xerostomia,Saliva Substitutes,Drink water frequently,dry mouth problem
135,cracked corner of lips,Angular Cheilitis,Antifungal Cream,Keep lips moisturized,cracked corner of lips
136,burning mouth sensation,Burning Mouth Syndrome,Vitamin B Complex,Consult doctor,burning mouth sensation
137,tooth ache at night,Dental Infection,Pain Killers,Get dental checkup,tooth ache at night
138,metallic taste in mouth,Medication Side Effect,Medical Evaluation,Consult doctor,metallic taste in mouth
139,food getting stuck in teeth,Gum Disease,Dental Cleaning,Maintain flossing,food getting stuck in teeth
140,swollen jaw lymph nodes,Dental Infection,Antibiotics,Consult dentist,swollen jaw lymph nodes
141,teeth grinding during sleep,Bruxism,Mouth Guard,Reduce stress,teeth grinding during sleep
142,black spots on teeth,Tooth Decay,Dental Cleaning,Visit dentist,black spots on teeth
143,pain in wisdom tooth,Wisdom Tooth Infection,Pain Relievers,Dental extraction if needed,pain in wisdom tooth
144,sore throat with mouth sores,Viral Infection,Pain Relievers,Drink warm fluids,sore throat with mouth sores
145,difficulty opening mouth fully,Jaw Muscle Spasm,Muscle Relaxants,Apply warm compress,difficulty opening mouth fully
146,small red bumps on skin,Heat Rash,Calamine Lotion,Keep skin cool and dry,small red bumps on skin
147,itchy red patches on arms,Allergic Dermatitis,Antihistamine Cream,Avoid allergens,itchy red patches on arms
148,white patches on skin,Vitiligo,Topical Steroids,Consult dermatologist,white patches on skin
149,dark patches on face,Melasma,Sunscreen Cream,Avoid sun exposure,dark patches on face
150,boils with pus on skin,Skin Abscess,Antibiotics,Keep area clean,boils with pus on skin
151,rough dry patches on elbows,Psoriasis,Topical Steroids,Moisturize regularly,rough dry patches on elbows
152,itching after bath,Dry Skin,Moisturizers,Use mild soap,itching after bath
153,small blisters on hands,Contact Dermatitis,Antihistamines,Avoid irritants,small blisters on hands
154,painful skin rash with burning,Shingles,Antiviral Drugs,Seek medical care,painful skin rash with burning
155,scaly patches on scalp,Scalp Psoriasis,Medicated Shampoo,Follow scalp treatment,scaly patches on scalp
156,itchy circular rash,Ringworm,Antifungal Cream,Keep skin dry,itchy circular rash
157,skin redness after sun,Sunburn,Aloe Vera Gel,Avoid sun exposure,skin redness after sun
158,skin peeling between fingers,Eczema,Moisturizing Cream,Apply ointment regularly,skin peeling between fingers
159,itchy bumps after mosquito bite,Insect Bite,Antihistamine Cream,Avoid scratching,itchy bumps after mosquito bite
160,blackheads on nose,Blackheads,Salicylic Acid,Clean face daily,blackheads on nose
161,painful lumps under skin,Boils,Antibiotics,Consult doctor,painful lumps under skin
162,excessive facial hair growth,Hormonal Imbalance,Hormone Therapy,Consult doctor,excessive facial hair growth
163,yellow crust on skin sores,Impetigo,Topical Antibiotics,Keep area clean,yellow crust on skin sores
164,skin darkening around neck,Acanthosis Nigricans,Blood Sugar Control,Check for diabetes,skin darkening around neck
165,itching in skin folds,Fungal Infection,Antifungal Powder,Keep area dry,itching in skin folds
166,peeling skin on feet,Athletes Foot,Antifungal Cream,Change socks regularly,peeling skin on feet
167,sudden skin redness and swelling,Allergic Reaction,Antihistamines,Seek medical help if severe,sudden skin redness and swelling
168,skin bumps with itching at night,Scabies,Permethrin Cream,Wash clothes in hot water,skin bumps with itching at night
169,thick skin on palms,Calluses,Moisturizing Cream,Use protective gloves,thick skin on palms
170,skin irritation after shaving,Razor Burn,Soothing Gel,Use clean razor,skin irritation after shaving
171,ear pain while chewing,Ear Infection,Pain Relievers,Avoid cold air and consult doctor,ear pain while chewing
172,itching inside ear,Ear Allergy,Antihistamine Drops,Do not insert objects in ear,itching inside ear
173,blocked ear feeling,Ear Wax Build Up,Ear Drops,Get ear cleaned by doctor,blocked ear feeling
174,ringing sound in ear,Tinnitus,Vitamin Supplements,Avoid loud noise,ringing sound in ear
175,fluid discharge from ear,Ear Infection,Antibiotics,Keep ear dry and consult doctor,fluid discharge from ear
176,ear pain with fever,Middle Ear Infection,Antibiotics,Seek medical treatment,ear pain with fever
177,reduced hearing in one ear,Hearing Loss,Medical Evaluation,Get hearing test done,reduced hearing in one ear
178,pain behind ear,Swollen Lymph Nodes,Pain Relievers,Apply warm compress,pain behind ear
179,ear fullness after cold,Eustachian Tube Block,Decongestants,Do steam inhalation,ear fullness after cold
180,crackling sound in ear,Ear Pressure Change,Decongestants,Avoid sudden pressure changes,crackling sound in ear
181,ear itching with flakes,Ear Dermatitis,Antifungal Drops,Keep ear dry,ear itching with flakes
182,sharp ear pain at night,Ear Infection,Pain Relievers,Consult ENT doctor,sharp ear pain at night
183,ear pain after swimming,Swimmers Ear,Antibiotic Drops,Dry ears after swimming,ear pain after swimming
184,hearing difficulty in noise,Early Hearing Loss,Hearing Test,Avoid loud environments,hearing difficulty in noise
185,ear buzzing sound,Tinnitus,Vitamin B Complex,Reduce stress,ear buzzing sound
186,ear pain while flying,Barotrauma,Decongestants,Chew gum during flight,ear pain while flying
187,bleeding from ear,Ear Injury,Emergency Care,Go to hospital immediately,bleeding from ear
188,ear pain with jaw movement,TMJ Disorder,Pain Relievers,Avoid hard chewing,ear pain with jaw movement
189,bad smell from ear,Ear Infection,Antibiotics,Clean ear under doctor guidance,bad smell from ear
190,ear blockage after bath,Water Trapped in Ear,Ear Drying Drops,Tilt head and dry ear,ear blockage after bath
191,ear redness and swelling,Outer Ear Infection,Antibiotics,Apply prescribed ointment,ear redness and swelling
192,constant ear itching,Fungal Ear Infection,Antifungal Drops,Keep ear dry,constant ear itching
193,ear pain with sore throat,ENT Infection,Antibiotics,Treat throat infection,ear pain with sore throat
194,clicking sound in ear,Jaw Joint Problem,Pain Relievers,Do jaw exercises,clicking sound in ear
195,ear numbness sensation,Nerve Irritation,Vitamin B Complex,Consult doctor,ear numbness sensation
196,blocked nose on one side,Nasal Congestion,Decongestants,Do steam inhalation,blocked nose on one side
197,frequent sneezing in morning,Allergic Rhinitis,Antihistamines,Avoid dust exposure,frequent sneezing in morning
198,runny nose with itching,Nasal Allergy,Cetirizine,Use saline spray,runny nose with itching
199,nose bleeding frequently,Nosebleed,Saline Spray,Apply pressure and consult doctor,nose bleeding frequently
200,pain around nose and eyes,Sinusitis,Antibiotics,Steam inhalation helps,pain around nose and eyes
201,thick yellow nasal discharge,Sinus Infection,Antibiotics,Complete medication course,thick yellow nasal discharge
202,nose itching and irritation,Allergic Reaction,Antihistamines,Avoid allergens,nose itching and irritation
203,loss of smell due to cold,Common Cold,Decongestants,Rest and fluids,loss of smell due to cold
204,pain inside nose,Local Infection,Antibiotic Ointment,Do not touch inside nose,pain inside nose
205,nose blockage at night,Nasal Polyps,Medical Evaluation,Consult ENT specialist,nose blockage at night
206,frequent nose dryness,Dry Nasal Passages,Saline Gel,Use humidifier,frequent nose dryness
207,nasal congestion after AC,Cold Exposure,Decongestants,Avoid cold air,nasal congestion after ac
208,pressure on forehead and nose,Sinus Headache,Pain Relievers,Steam inhalation,pressure on forehead and nose
209,nose swelling after injury,Nasal Injury,Pain Relievers,Apply cold compress,nose swelling after injury
210,burning sensation in nose,Allergic Irritation,Saline Spray,Avoid strong smells,burning sensation in nose
211,nose pain with toothache,Maxillary Sinusitis,Antibiotics,Dental and ENT checkup,nose pain with toothache
212,constant sniffing,Nasal Allergy,Antihistamines,Keep room dust free,constant sniffing
213,bad smell from nose,Sinus Infection,Antibiotics,Consult ENT doctor,bad smell from nose
214,nose blockage with snoring,Deviated Septum,Medical Evaluation,Surgical correction if needed,nose blockage with snoring
215,frequent sneezing after dust,Allergy Trigger,Antihistamines,Wear mask in dusty areas,frequent sneezing after dust
216,crusting inside nose,Nasal Dryness,Saline Ointment,Apply nasal moisturizer,crusting inside nose
217,nose congestion with fever,Upper Respiratory Infection,Paracetamol,Rest and fluids,nose congestion with fever
218,watery nose in cold weather,Cold Sensitivity,Antihistamines,Protect nose from cold,watery nose in cold weather
219,nose pain when touching,Local Inflammation,Topical Antibiotics,Avoid pressing nose,nose pain when touching
220,blocked nose after crying,Nasal Congestion,Saline Drops,Clear nose gently,blocked nose after crying
221,eye redness with pain,Eye Infection,Antibiotic Eye Drops,Avoid touching eyes,eye redness with pain
222,blurred vision suddenly,Sudden Vision Disturbance,Medical Evaluation,Seek medical help immediately,blurred vision suddenly
223,itchy eyes with watering,Eye Allergy,Antihistamine Drops,Avoid rubbing eyes,itchy eyes with watering
224,eye strain after long screen use,Digital Eye Strain,Eye Drops,Take frequent breaks,eye strain after long screen use
225,yellow discharge from eyes,Conjunctivitis,Antibiotic Eye Drops,Clean eyes with sterile cloth,yellow discharge from eyes
226,eye pain in bright light,Photophobia,Dark Glasses,Avoid bright lights,eye pain in bright light
227,dry eyes with burning,Dry Eye Syndrome,Artificial Tears,Blink frequently and hydrate,dry eyes with burning
228,swelling around eyes,Eye Inflammation,Cold Compress,Consult doctor if severe,swelling around eyes
229,double vision,Vision Disorder,Medical Evaluation,Urgent eye check needed,double vision
230,foreign body sensation in eye,Eye Irritation,Saline Wash,Rinse eye gently,foreign body sensation in eye
231,eye twitching frequently,Eye Fatigue,Multivitamins,Reduce screen time,eye twitching frequently
232,eye heaviness and headache,Eye Strain,Pain Relievers,Rest eyes,eye heaviness and headache
233,red patch in eye,Subconjunctival Hemorrhage,No Medicine,Usually heals on its own,red patch in eye
234,night vision difficulty,Night Blindness,Vitamin A Supplements,Improve vitamin intake,night vision difficulty
235,eye pain with headache,Glaucoma Attack,Medical Emergency,Go to hospital immediately,eye pain with headache
236,white spot on cornea,Corneal Ulcer,Antibiotic Drops,Urgent ophthalmologist visit,white spot on cornea
237,itchy eyelids with flakes,Blepharitis,Eyelid Cleaning,Maintain eyelid hygiene,itchy eyelids with flakes
238,swollen eyelids in morning,Eye Allergy,Antihistamines,Apply cold compress,swollen eyelids in morning
239,flashes of light in vision,Retinal Problem,Emergency Evaluation,Immediate eye check,flashes of light in vision
240,cloudy vision in elderly,Cataract,Medical Evaluation,Surgery if severe,cloudy vision in elderly
241,eye dryness after AC,Dry Eyes,Artificial Tears,Avoid direct air flow,eye dryness after ac
242,eye pain when moving eyes,Optic Neuritis,Medical Evaluation,Urgent consultation required,eye pain when moving eyes
243,watering eyes in wind,Eye Sensitivity,Protective Glasses,Wear sunglasses,watering eyes in wind
244,sticky eyes after sleep,Eye Infection,Antibiotic Drops,Clean eyes regularly,sticky eyes after sleep
245,black spots floating in vision,Eye Floaters,Medical Evaluation,Consult ophthalmologist,black spots floating in vision
246,fast heartbeat without exercise,Palpitations,Medical Evaluation,Avoid caffeine and stress,fast heartbeat without exercise
247,irregular heartbeat feeling,Arrhythmia,Medical Evaluation,Consult cardiologist,irregular heartbeat feeling
248,pressure in chest while walking,Angina,Pain Relievers,Rest and seek medical advice,pressure in chest while walking
249,shortness of breath on climbing stairs,Heart Weakness,Medical Evaluation,Limit exertion and consult doctor,shortness of breath on climbing stairs
250,swelling in legs with breathlessness,Heart Failure,Diuretics,Seek medical attention,swelling in legs with breathlessness
251,feeling faint suddenly,Low Blood Pressure,ORS,Sit or lie down immediately,feeling faint suddenly
252,headache with high bp reading,Hypertension,Antihypertensives,Check BP regularly,headache with high bp reading
253,dizziness after standing up,Postural Hypotension,ORS,Stand up slowly,dizziness after standing up
254,nosebleed with high bp,Hypertension,Medical Evaluation,Control blood pressure,nosebleed with high bp
255,chest tightness during stress,Stress Induced Angina,Medical Evaluation,Practice relaxation techniques,chest tightness during stress
256,frequent urination with fatigue,Diabetes,Blood Sugar Control,Monitor glucose regularly,frequent urination with fatigue
257,slow wound healing in feet,Diabetic Complication,Glucose Control,Daily foot care needed,slow wound healing in feet
258,tingling in feet and hands,Diabetic Neuropathy,Vitamin B Complex,Control sugar levels,tingling in feet and hands
