ID,Symptoms/Question,Disease Prediction,Recommended Medicines,Advice
1,muscle cramps and weakness,Electrolyte Imbalance,"Electrolyte solution, Potassium supplements","Stay hydrated, maintain balanced diet."
2,cold hands and feet,Raynaud's Disease,"Nifedipine, Losartan","Keep warm, reduce stress."
3,back pain and stiffness,Herniated Disc,"Ibuprofen, Muscle relaxants","Maintain good posture, apply cold/heat."
4,headache and nausea,Migraine,"Sumatriptan, Naproxen","Avoid triggers, rest in a dark room."
5,persistent cough with mucus,Bronchitis,"Azithromycin, Cough suppressants","Drink fluids, avoid smoke."
6,joint pain and swelling,Rheumatoid Arthritis,"Methotrexate, Prednisone","Exercise gently, manage stress."
7,swollen glands in neck,Lymphadenopathy,"Amoxicillin, Analgesics","Monitor swelling, take antibiotics if needed."
8,night sweats and weight loss,Tuberculosis,"Isoniazid, Rifampin","Take full antibiotic course, avoid contact."
9,diarrhea and stomach cramps,Gastroenteritis,"Loperamide, Oral Rehydration","Stay hydrated, eat bland food."
10,tiredness and frequent urination,Type 2 Diabetes,"Metformin, Glipizide","Exercise regularly, control sugar intake."
11,sensitivity to light and headaches,Meningitis,"Ceftriaxone, Dexamethasone","Seek emergency care immediately."
12,dry mouth and excessive thirst,Dehydration,"ORS, IV Fluids","Drink more fluids, avoid excessive heat."
13,blurred vision and eye pain,Glaucoma,"Latanoprost, Timolol","Use eye drops regularly, avoid strain."
14,sore throat and mild fever,Pharyngitis,"Paracetamol, Lozenges","Drink warm fluids, rest well."
15,abdominal pain and bloating,Acid Reflux,"Omeprazole, Ranitidine","Avoid spicy food, elevate head while sleeping."
16,chest pain and dizziness,Heart Disease,"Aspirin, Nitroglycerin","Avoid stress, follow heart-healthy diet."
17,itchy skin and rash,Eczema,"Hydrocortisone, Moisturizers","Use moisturizers, avoid allergens."
18,shortness of breath and cough,Asthma,"Salbutamol, Fluticasone","Avoid allergens, use inhaler as prescribed."
19,frequent nosebleeds,Hypertension,"Lisinopril, Amlodipine","Reduce salt intake, exercise daily."
20,difficulty sleeping,Insomnia,"Melatonin, Zolpidem","Maintain sleep schedule, avoid caffeine."
21,fever and chills,Viral Fever,Paracetamol,"Take rest and drink plenty of fluids"
22,runny nose and sneezing,Common Cold,Cetirizine,"Avoid cold drinks and rest well"
23,sore throat and cough,Throat Infection,"Paracetamol, Lozenges","Gargle with warm salt water"
24,headache and eye strain,Eye Strain,Paracetamol,"Reduce screen time and rest eyes"
25,stomach pain after eating,Indigestion,Antacids,"Eat small meals and avoid spicy food"
26,vomiting and nausea,Food Poisoning,Ondansetron,"Drink ORS and avoid solid food"
27,body pains and tiredness,Viral Infection,Paracetamol,"Take rest and fluids"
28,cough and chest tightness,Chest Infection,Cough Syrup,"Avoid cold air and smoke"
29,itchy eyes and sneezing,Allergic Rhinitis,Cetirizine,"Avoid dust and pollen"
30,burning while passing urine,Urinary Tract Infection,Nitrofurantoin,"Drink more water"
31,constipation and hard stools,Constipation,Isabgol,"Eat fiber rich foods"
32,loose motions and weakness,Diarrhea,"ORS, Zinc","Stay hydrated"
33,back pain after sitting long,Muscle Strain,Pain Relievers,"Maintain proper posture"
34,neck pain and stiffness,Cervical Spondylosis,Pain Relievers,"Do neck exercises"
35,acne and oily skin,Acne,Benzoyl Peroxide,"Keep face clean"
36,dandruff and itchy scalp,Dandruff,Ketoconazole Shampoo,"Wash hair regularly"
37,tooth pain and swelling,Tooth Infection,Pain Killers,"Visit dentist"
38,ear pain and itching,Ear Infection,Antibiotic Drops,"Keep ear dry"
39,breathlessness on walking,Anemia,Iron Supplements,"Eat iron rich foods"
40,fatigue and pale skin,Iron Deficiency Anemia,Iron Tablets,"Improve diet"
41,frequent headaches,Tension Headache,Paracetamol,"Manage stress"
42,stomach bloating and gas,Gas Trouble,Simethicone,"Avoid carbonated drinks"
43,knee pain while climbing stairs,Knee Arthritis,Pain Relievers,"Do strengthening exercises"
44,hand joint stiffness morning,Arthritis,Pain Relievers,"Do hand exercises"
45,dryness and cracking lips,Dehydration,Multivitamins,"Drink enough water"
46,eye redness and itching,Conjunctivitis,Eye Drops,"Avoid touching eyes"
47,frequent burping and acidity,Acid Reflux,Omeprazole,"Avoid oily food"
48,sleep problems and stress,Stress,Mild Sedatives,"Practice relaxation"
49,low mood and tiredness,Mild Depression,Multivitamins,"Exercise regularly"
50,weight gain and tiredness,Hypothyroidism,Levothyroxine,"Regular thyroid check"
51,excessive sweating,Hyperhidrosis,Antiperspirants,"Maintain hygiene"
52,hair fall and weakness,Nutritional Deficiency,Multivitamins,"Eat healthy food"
53,numbness in legs,Nerve Compression,Vitamin B Complex,"Avoid long sitting"
54,frequent infections,Low Immunity,Multivitamins,"Improve nutrition"
55,dry cough at night,Allergy,Antihistamines,"Avoid allergens"
56,wheezing and chest tightness,Mild Asthma,Inhaler,"Avoid triggers"
57,swelling in feet,Fluid Retention,Diuretics,"Reduce salt intake"
58,burning sensation in chest,Heartburn,Antacids,"Avoid late night meals"
59,itchy private area,Fungal Infection,Antifungal Cream,"Keep area dry"
60,white patches in mouth,Oral Thrush,Antifungal Gel,"Maintain oral hygiene"
61,frequent urination at night,Prostate Enlargement,Alpha Blockers,"Reduce fluids at night"
62,dizziness on standing,Low Blood Pressure,ORS,"Stand slowly"
63,ringing in ears,Tinnitus,Vitamin Supplements,"Avoid loud noise"
64,redness and pain in joints,Gout,Pain Relievers,"Avoid high protein food"
65,stomach cramps during periods,Menstrual Cramps,Pain Relievers,"Use hot water bag"
66,mood swings and fatigue,Hormonal Imbalance,Multivitamins,"Get proper sleep"
67,dry skin and itching,Dry Skin,Moisturizers,"Use mild soaps"
68,frequent yawning and tired,Sleep Deprivation,No Medicine,"Improve sleep habits"
69,cough after eating,Acid Reflux,Antacids,"Avoid lying after meals"
70,chest discomfort after stress,Anxiety,Mild Sedatives,"Practice breathing exercises"
71,feeling dizzy and weak,General Weakness,Multivitamins,"Take rest and balanced diet"
72,loss of appetite and nausea,Stomach Infection,Antiemetic,"Eat light foods and stay hydrated"
73,pain while swallowing,Throat Inflammation,Lozenges,"Drink warm fluids"
74,frequent hiccups,Indigestion,Antacids,"Avoid spicy food"
75,stomach burning in morning,Acid Reflux,Omeprazole,"Avoid skipping meals"
76,shaking hands and nervousness,Anxiety,Anti anxiety meds,"Practice deep breathing"
77,sudden weight loss,Metabolic Disorder,Medical Evaluation,"Consult doctor for tests"
78,leg cramps at night,Electrolyte Deficiency,Magnesium Supplements,"Stretch before sleep"
79,difficulty concentrating,Tiredness,Multivitamins,"Get enough sleep"
80,frequent sore throat,Recurrent Infection,Vitamin C,"Boost immunity"
81,swollen ankles in evening,Fluid Retention,Diuretics,"Elevate legs"
82,tingling in fingers,Vitamin Deficiency,Vitamin B12,"Improve nutrition"
83,eye watering in sunlight,Light Sensitivity,Sunglasses,"Avoid bright light"
84,pain in heel while walking,Plantar Fasciitis,Pain Relievers,"Use soft footwear"
85,lower back pain while bending,Muscle Strain,Pain Relievers,"Avoid heavy lifting"
86,dry cough with throat itch,Allergy,Antihistamines,"Avoid dust exposure"
87,excessive sleepiness daytime,Sleep Disorder,Medical Evaluation,"Maintain sleep routine"
88,frequent mouth ulcers,Vitamin Deficiency,Multivitamins,"Avoid spicy foods"
89,heavy sweating at night,Night Sweats,Medical Evaluation,"Consult doctor if persists"
90,painful bowel movements,Anal Fissure,Ointments,"Increase fiber intake"
91,frequent stomach noises,Gas Trouble,Simethicone,"Avoid carbonated drinks"
92,stiff neck after sleeping wrong,Muscle Stiffness,Pain Relievers,"Apply warm compress"
93,itching between toes,Fungal Infection,Antifungal Cream,"Keep feet dry"
94,red watery eyes,Eye Allergy,Eye Drops,"Avoid rubbing eyes"
95,feeling cold all the time,Hypothyroidism,Thyroid Medication,"Check thyroid levels"
96,slow healing wounds,Diabetes Complication,Blood Sugar Control,"Monitor glucose regularly"
97,burning feet at night,Nerve Problem,Vitamin B Complex,"Consult doctor"
98,difficulty breathing when lying,Heart or Lung Issue,Medical Evaluation,"Seek medical attention"
99,chest heaviness after meals,Acid Reflux,Antacids,"Eat small meals"
100,frequent yawning and breathlessness,Anemia,Iron Supplements,"Improve iron intake"
101,blurred vision after screen use,Digital Eye Strain,Eye Drops,"Follow 20-20-20 rule"
102,irregular menstrual cycles,Hormonal Imbalance,Hormone Therapy,"Consult gynecologist"
103,pain in wrist after typing,Repetitive Strain Injury,Pain Relievers,"Take frequent breaks"
104,frequent throat clearing,Post Nasal Drip,Antihistamines,"Drink warm fluids"
105,loss of smell and taste,Sinus Infection,Decongestants,"Steam inhalation"
106,white discharge and itching,Vaginal Infection,Antifungal Tablets,"Maintain hygiene"
107,frequent urination with burning,Urinary Infection,Antibiotics,"Drink plenty of water"
108,stomach pain after dairy,Lactose Intolerance,Lactase Enzymes,"Avoid dairy products"
109,sudden muscle twitching,Electrolyte Imbalance,Magnesium,"Stay hydrated"
110,feeling heartbeat fast,Panic Attack,Anti anxiety meds,"Practice calming techniques"
111,dry throat at night,Mouth Breathing,Saline Spray,"Use humidifier"
112,eye pain while blinking,Eye Infection,Eye Drops,"Avoid eye strain"
113,frequent burping after meals,Indigestion,Antacids,"Eat slowly"
114,loss of hair in patches,Alopecia,Topical Steroids,"Consult dermatologist"
115,pain under rib cage,Muscle Injury,Pain Relievers,"Avoid strenuous activity"
116,feeling bloated after small meals,Indigestion,Probiotics,"Eat smaller portions"
117,sore gums and bleeding,Gingivitis,Antiseptic Mouthwash,"Brush regularly"
118,itchy ears inside,Ear Allergy,Antihistamine Drops,"Avoid inserting objects"
119,difficulty starting urine,Prostate Issue,Alpha Blockers,"Consult urologist"
120,frequent thirst and hunger,Diabetes,Blood Sugar Control,"Check glucose levels"
121,tooth pain while chewing,Dental Cavity,Pain Killers,"Avoid very hot or cold food"
122,bleeding gums while brushing,Gingivitis,Antiseptic Mouthwash,"Brush gently and regularly"
123,bad breath even after brushing,Oral Infection,Antibacterial Mouthwash,"Maintain oral hygiene"
124,swollen gums with pain,Gum Infection,Antibiotics,"Consult dentist"
125,sharp pain in tooth,Tooth Sensitivity,Desensitizing Toothpaste,"Avoid cold drinks"
126,jaw pain while opening mouth,TMJ Disorder,Pain Relievers,"Avoid chewing hard foods"
127,ulcers inside mouth,Mouth Ulcers,Topical Gel,"Avoid spicy food"
128,white coating on tongue,Oral Thrush,Antifungal Gel,"Clean tongue daily"
129,tooth pain with swelling face,Dental Abscess,Antibiotics,"Visit dentist immediately"
130,bleeding after tooth extraction,Post Extraction Issue,Antiseptic,"Avoid rinsing for 24 hours"
131,loose tooth in adult,Periodontal Disease,Dental Treatment,"Consult dentist"
132,red patches inside mouth,Oral Inflammation,Topical Ointment,"Avoid tobacco and alcohol"
133,pain in gums while eating,Gum Inflammation,Antiseptic Gel,"Eat soft foods"
134,dry mouth problem,Xerostomia,Saliva Substitutes,"Drink water frequently"
135,cracked corner of lips,Angular Cheilitis,Antifungal Cream,"Keep lips moisturized"
136,burning mouth sensation,Burning Mouth Syndrome,Vitamin B Complex,"Consult doctor"
137,tooth ache at night,Dental Infection,Pain Killers,"Get dental checkup"
138,metallic taste in mouth,Medication Side Effect,Medical Evaluation,"Consult doctor"
139,food getting stuck in teeth,Gum Disease,Dental Cleaning,"Maintain flossing"
140,swollen jaw lymph nodes,Dental Infection,Antibiotics,"Consult dentist"
141,teeth grinding during sleep,Bruxism,Mouth Guard,"Reduce stress"
142,black spots on teeth,Tooth Decay,Dental Cleaning,"Visit dentist"
143,pain in wisdom tooth,Wisdom Tooth Infection,Pain Relievers,"Dental extraction if needed"
144,sore throat with mouth sores,Viral Infection,Pain Relievers,"Drink warm fluids"
145,difficulty opening mouth fully,Jaw Muscle Spasm,Muscle Relaxants,"Apply warm compress"
146,small red bumps on skin,Heat Rash,Calamine Lotion,"Keep skin cool and dry"
147,itchy red patches on arms,Allergic Dermatitis,Antihistamine Cream,"Avoid allergens"
148,white patches on skin,Vitiligo,Topical Steroids,"Consult dermatologist"
149,dark patches on face,Melasma,Sunscreen Cream,"Avoid sun exposure"
150,boils with pus on skin,Skin Abscess,Antibiotics,"Keep area clean"
151,rough dry patches on elbows,Psoriasis,Topical Steroids,"Moisturize regularly"
152,itching after bath,Dry Skin,Moisturizers,"Use mild soap"
153,small blisters on hands,Contact Dermatitis,Antihistamines,"Avoid irritants"
154,painful skin rash with burning,Shingles,Antiviral Drugs,"Seek medical care"
155,scaly patches on scalp,Scalp Psoriasis,Medicated Shampoo,"Follow scalp treatment"
156,itchy circular rash,Ringworm,Antifungal Cream,"Keep skin dry"
157,skin redness after sun,Sunburn,Aloe Vera Gel,"Avoid sun exposure"
158,skin peeling between fingers,Eczema,Moisturizing Cream,"Apply ointment regularly"
159,itchy bumps after mosquito bite,Insect Bite,Antihistamine Cream,"Avoid scratching"
160,blackheads on nose,Blackheads,Salicylic Acid,"Clean face daily"
161,painful lumps under skin,Boils,Antibiotics,"Consult doctor"
162,excessive facial hair growth,Hormonal Imbalance,Hormone Therapy,"Consult doctor"
163,yellow crust on skin sores,Impetigo,Topical Antibiotics,"Keep area clean"
164,skin darkening around neck,Acanthosis Nigricans,Blood Sugar Control,"Check for diabetes"
165,itching in skin folds,Fungal Infection,Antifungal Powder,"Keep area dry"
166,peeling skin on feet,Athletes Foot,Antifungal Cream,"Change socks regularly"
167,sudden skin redness and swelling,Allergic Reaction,Antihistamines,"Seek medical help if severe"
168,skin bumps with itching at night,Scabies,Permethrin Cream,"Wash clothes in hot water"
169,thick skin on palms,Calluses,Moisturizing Cream,"Use protective gloves"
170,skin irritation after shaving,Razor Burn,Soothing Gel,"Use clean razor"
171,ear pain while chewing,Ear Infection,Pain Relievers,"Avoid cold air and consult doctor"
172,itching inside ear,Ear Allergy,Antihistamine Drops,"Do not insert objects in ear"
173,blocked ear feeling,Ear Wax Build Up,Ear Drops,"Get ear cleaned by doctor"
174,ringing sound in ear,Tinnitus,Vitamin Supplements,"Avoid loud noise"
175,fluid discharge from ear,Ear Infection,Antibiotics,"Keep ear dry and consult doctor"
176,ear pain with fever,Middle Ear Infection,Antibiotics,"Seek medical treatment"
177,reduced hearing in one ear,Hearing Loss,Medical Evaluation,"Get hearing test done"
178,pain behind ear,Swollen Lymph Nodes,Pain Relievers,"Apply warm compress"
179,ear fullness after cold,Eustachian Tube Block,Decongestants,"Do steam inhalation"
180,crackling sound in ear,Ear Pressure Change,Decongestants,"Avoid sudden pressure changes"
181,ear itching with flakes,Ear Dermatitis,Antifungal Drops,"Keep ear dry"
182,sharp ear pain at night,Ear Infection,Pain Relievers,"Consult ENT doctor"
183,ear pain after swimming,Swimmers Ear,Antibiotic Drops,"Dry ears after swimming"
184,hearing difficulty in noise,Early Hearing Loss,Hearing Test,"Avoid loud environments"
185,ear buzzing sound,Tinnitus,Vitamin B Complex,"Reduce stress"
186,ear pain while flying,Barotrauma,Decongestants,"Chew gum during flight"
187,bleeding from ear,Ear Injury,Emergency Care,"Go to hospital immediately"
188,ear pain with jaw movement,TMJ Disorder,Pain Relievers,"Avoid hard chewing"
189,bad smell from ear,Ear Infection,Antibiotics,"Clean ear under doctor guidance"
190,ear blockage after bath,Water Trapped in Ear,Ear Drying Drops,"Tilt head and dry ear"
191,ear redness and swelling,Outer Ear Infection,Antibiotics,"Apply prescribed ointment"
192,constant ear itching,Fungal Ear Infection,Antifungal Drops,"Keep ear dry"
193,ear pain with sore throat,ENT Infection,Antibiotics,"Treat throat infection"
194,clicking sound in ear,Jaw Joint Problem,Pain Relievers,"Do jaw exercises"
195,ear numbness sensation,Nerve Irritation,Vitamin B Complex,"Consult doctor"
196,blocked nose on one side,Nasal Congestion,Decongestants,"Do steam inhalation"
197,frequent sneezing in morning,Allergic Rhinitis,Antihistamines,"Avoid dust exposure"
198,runny nose with itching,Nasal Allergy,Cetirizine,"Use saline spray"
199,nose bleeding frequently,Nosebleed,Saline Spray,"Apply pressure and consult doctor"
200,pain around nose and eyes,Sinusitis,Antibiotics,"Steam inhalation helps"
201,thick yellow nasal discharge,Sinus Infection,Antibiotics,"Complete medication course"
202,nose itching and irritation,Allergic Reaction,Antihistamines,"Avoid allergens"
203,loss of smell due to cold,Common Cold,Decongestants,"Rest and fluids"
204,pain inside nose,Local Infection,Antibiotic Ointment,"Do not touch inside nose"
205,nose blockage at night,Nasal Polyps,Medical Evaluation,"Consult ENT specialist"
206,frequent nose dryness,Dry Nasal Passages,Saline Gel,"Use humidifier"
207,nasal congestion after AC,Cold Exposure,Decongestants,"Avoid cold air"
208,pressure on forehead and nose,Sinus Headache,Pain Relievers,"Steam inhalation"
209,nose swelling after injury,Nasal Injury,Pain Relievers,"Apply cold compress"
210,burning sensation in nose,Allergic Irritation,Saline Spray,"Avoid strong smells"
211,nose pain with toothache,Maxillary Sinusitis,Antibiotics,"Dental and ENT checkup"
212,constant sniffing,Nasal Allergy,Antihistamines,"Keep room dust free"
213,bad smell from nose,Sinus Infection,Antibiotics,"Consult ENT doctor"
214,nose blockage with snoring,Deviated Septum,Medical Evaluation,"Surgical correction if needed"
215,frequent sneezing after dust,Allergy Trigger,Antihistamines,"Wear mask in dusty areas"
216,crusting inside nose,Nasal Dryness,Saline Ointment,"Apply nasal moisturizer"
217,nose congestion with fever,Upper Respiratory Infection,Paracetamol,"Rest and fluids"
218,watery nose in cold weather,Cold Sensitivity,Antihistamines,"Protect nose from cold"
219,nose pain when touching,Local Inflammation,Topical Antibiotics,"Avoid pressing nose"
220,blocked nose after crying,Nasal Congestion,Saline Drops,"Clear nose gently"
221,eye redness with pain,Eye Infection,Antibiotic Eye Drops,"Avoid touching eyes"
222,blurred vision suddenly,Sudden Vision Disturbance,Medical Evaluation,"Seek medical help immediately"
223,itchy eyes with watering,Eye Allergy,Antihistamine Drops,"Avoid rubbing eyes"
224,eye strain after long screen use,Digital Eye Strain,Eye Drops,"Take frequent breaks"
225,yellow discharge from eyes,Conjunctivitis,Antibiotic Eye Drops,"Clean eyes with sterile cloth"
226,eye pain in bright light,Photophobia,Dark Glasses,"Avoid bright lights"
227,dry eyes with burning,Dry Eye Syndrome,Artificial Tears,"Blink frequently and hydrate"
228,swelling around eyes,Eye Inflammation,Cold Compress,"Consult doctor if severe"
229,double vision,Vision Disorder,Medical Evaluation,"Urgent eye check needed"
230,foreign body sensation in eye,Eye Irritation,Saline Wash,"Rinse eye gently"
231,eye twitching frequently,Eye Fatigue,Multivitamins,"Reduce screen time"
232,eye heaviness and headache,Eye Strain,Pain Relievers,"Rest eyes"
233,red patch in eye,Subconjunctival Hemorrhage,No Medicine,"Usually heals on its own"
234,night vision difficulty,Night Blindness,Vitamin A Supplements,"Improve vitamin intake"
235,eye pain with headache,Glaucoma Attack,Medical Emergency,"Go to hospital immediately"
236,white spot on cornea,Corneal Ulcer,Antibiotic Drops,"Urgent ophthalmologist visit"
237,itchy eyelids with flakes,Blepharitis,Eyelid Cleaning,"Maintain eyelid hygiene"
238,swollen eyelids in morning,Eye Allergy,Antihistamines,"Apply cold compress"
239,flashes of light in vision,Retinal Problem,Emergency Evaluation,"Immediate eye check"
240,cloudy vision in elderly,Cataract,Medical Evaluation,"Surgery if severe"
241,eye dryness after AC,Dry Eyes,Artificial Tears,"Avoid direct air flow"
242,eye pain when moving eyes,Optic Neuritis,Medical Evaluation,"Urgent consultation required"
243,watering eyes in wind,Eye Sensitivity,Protective Glasses,"Wear sunglasses"
244,sticky eyes after sleep,Eye Infection,Antibiotic Drops,"Clean eyes regularly"
245,black spots floating in vision,Eye Floaters,Medical Evaluation,"Consult ophthalmologist"
246,fast heartbeat without exercise,Palpitations,Medical Evaluation,"Avoid caffeine and stress"
247,irregular heartbeat feeling,Arrhythmia,Medical Evaluation,"Consult cardiologist"
248,pressure in chest while walking,Angina,Pain Relievers,"Rest and seek medical advice"
249,shortness of breath on climbing stairs,Heart Weakness,Medical Evaluation,"Limit exertion and consult doctor"
250,swelling in legs with breathlessness,Heart Failure,Diuretics,"Seek medical attention"
251,feeling faint suddenly,Low Blood Pressure,ORS,"Sit or lie down immediately"
252,headache with high bp reading,Hypertension,Antihypertensives,"Check BP regularly"
253,dizziness after standing up,Postural Hypotension,ORS,"Stand up slowly"
254,nosebleed with high bp,Hypertension,Medical Evaluation,"Control blood pressure"
255,chest tightness during stress,Stress Induced Angina,Medical Evaluation,"Practice relaxation techniques"
256,frequent urination with fatigue,Diabetes,Blood Sugar Control,"Monitor glucose regularly"
